Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1983,.53,.43,.42,.28,.34,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.06,-.04,.16,.17,.20,.21,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.18,.17,.35,.33,.34,.29,.20,.37,.27,.27,.24,.28,.28,.28
1990,.42,.44,.80,.56,.46,.37,.46,.34,.23,.45,.46,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.36,.51,.34,.53,.48,.39,.44,.29,.30,.32,.41,.41,.44,.40,.47,.34
1992,.48,.40,.48,.28,.31,.26,.09,.08,-.01,.07,.03,.22,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.43,.44,.39,.32,.30,.15,.33,.32,.39
1995,.52,.79,.46,.47,.27,.43,.45,.45,.33,.46,.45,.26,.45,.46,.57,.40,.44,.41
1996,.24,.46,.33,.33,.27,.25,.37,.48,.25,.22,.42,.37,.33,.32,.32,.31,.37,.30
1997,.32,.41,.52,.34,.35,.55,.34,.41,.52,.61,.65,.59,.47,.45,.37,.40,.43,.59
1998,.58,.88,.63,.64,.68,.77,.66,.65,.42,.42,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.39,.34,.37,.41,.38,.39,.56,.30,.35,.37
2000,.25,.56,.55,.56,.36,.40,.39,.42,.39,.27,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.51,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.53,.62,.54,.64,.54,.59,.44,.63,.64,.70,.70,.56,.59
2003,.75,.58,.60,.55,.61,.48,.58,.65,.62,.72,.53,.75,.62,.59,.59,.59,.57,.62
2004,.58,.73,.63,.61,.37,.44,.26,.45,.50,.61,.73,.51,.53,.55,.68,.54,.39,.61
2005,.75,.60,.74,.67,.63,.65,.61,.60,.72,.76,.74,.68,.68,.67,.62,.68,.62,.74
2006,.56,.74,.63,.47,.48,.66,.54,.71,.66,.71,.74,.79,.64,.63,.66,.53,.64,.70
2007,1.02,.70,.72,.77,.69,.61,.60,.60,.61,.59,.59,.50,.67,.69,.84,.73,.60,.60
2008,.30,.38,.75,.54,.50,.49,.60,.46,.61,.67,.70,.54,.54,.54,.39,.60,.52,.66
2009,.65,.53,.53,.61,.66,.64,.74,.69,.72,.65,.80,.67,.66,.65,.57,.60,.69,.72
2010,.75,.84,.92,.85,.76,.67,.63,.67,.63,.71,.81,.45,.73,.74,.75,.84,.66,.72
2011,.53,.48,.66,.64,.53,.63,.70,.75,.56,.65,.59,.60,.61,.60,.48,.61,.69,.60
2012,.47,.48,.57,.73,.78,.65,.59,.66,.72,.80,.78,.53,.65,.65,.52,.69,.63,.77
2013,.71,.62,.67,.53,.60,.70,.60,.71,.77,.69,.83,.70,.68,.66,.62,.60,.67,.77
2014,.77,.55,.78,.81,.87,.67,.58,.84,.88,.80,.67,.79,.75,.74,.67,.82,.70,.79
2015,.87,.91,.96,.75,.80,.81,.73,.80,.84,1.08,1.06,1.17,.90,.87,.86,.84,.78,.99
2016,1.18,1.37,1.35,1.09,.96,.81,.85,1.02,.90,.87,.91,.86,1.01,1.04,1.24,1.13,.89,.90
2017,1.02,1.14,1.17,.94,.91,.71,.82,.88,.74,.89,.87,.93,.92,.91,1.01,1.01,.80,.83
2018,.82,.85,.88,.89,.81,.77,.84,.78,.80,1.02,.84,.93,.85,.85,.87,.86,.79,.89
2019,.93,.96,1.17,1.01,.86,.91,.94,.95,.93,1.00,.99,1.12,.98,.97,.94,1.02,.93,.97
2020,1.18,1.24,1.18,1.12,1.00,.91,.89,.86,.97,.87,1.08,.80,1.01,1.04,1.18,1.10,.89,.97
2021,.82,.64,.89,.76,.79,.85,.92,.81,.93,.99,.93,.88,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.84,.84,.92,.94,.95,.89,.97,.73,.80,.90,.90,.89,.91,.94,.87
2023,.88,.97,1.23,.99,.94,1.09,1.20,1.19,1.48,1.34,1.41,1.37,1.17,1.13,.88,1.06,1.16,1.41
2024,1.25,1.45,1.39,1.31,1.15,1.21,1.20,1.29,1.24,1.33,1.30,1.26,1.28,1.29,1.36,1.28,1.23,1.29
2025,1.38,1.26,1.37,1.25,1.08,1.06,1.02,1.18,1.25,1.20,1.21,1.06,1.19,1.21,1.30,1.23,1.09,1.22
2026,1.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
